Model,MAE,MSE,RMSE,R^2
random_forest_hsv,8.367804878048778,133.53115317073167,11.555568059196903,0.9450721710974511
gradient_boosting_hsv,9.069826741432378,167.99234157063353,12.961185963122107,0.9308966156913798
svm_hsv,9.741147207164277,183.85795240927158,13.559423011665046,0.9243703217376019
mlp_hsv,37.402729253835574,1956.155564625395,44.22844745890811,0.19533849885104115
