Red_Frequency,Green_Frequency,Blue_Frequency,Clear_Frequency,Red,Green,Blue,Label
12567.728717162576,7966.43050245337,10499.890996267726,28900.70907190417,72.28392609636678,40.250758376653025,85.85249517864968,136.0
11128.404324457126,7060.167707651075,9271.983120861474,25651.776960929936,50.623352343335895,24.53805556079588,62.45586851061495,140.0
14253.207838381704,8914.4718935939,11526.52537167972,32157.105066173488,97.02701809729592,57.0322221325834,105.45811667272719,144.0
14175.518337051548,8763.58076035327,11550.537577419162,28596.128662014806,95.76550872242002,54.26632597190333,106.29681541065115,148.0
13688.556320499552,8556.448067403531,11233.149752753301,31172.307382443985,88.3491804648827,50.633004167246106,99.73578623478069,152.0
12713.277488919284,7939.289835864006,10491.478584790637,29117.345177507734,73.9612519351742,39.646929408316,85.40068155422111,156.0
11642.284077910057,7297.866291806921,9632.40926718202,23825.533612270585,58.24922251627589,28.507693787497224,69.50107457395264,160.0
10746.44649929458,6844.829406639631,8930.699364810973,24794.74618887877,45.14604107607259,20.51473326583221,55.941503626427355,164.0
13672.443315686009,8522.59777876302,11052.417477204262,30657.56646628728,88.32976445143879,49.9756010996325,96.1631288349505,168.0
13696.316369082686,8523.208368596665,11132.937326307543,27739.982722187902,88.74325794761307,50.18724023430691,97.97614419971076,172.0
13843.232445429763,8501.030096213182,10788.070263639638,29860.397239159356,80.73206073924891,46.530285283019836,91.4027043966511,176.0
12613.149341249004,8055.7743285380175,10358.8629888018,29012.801384554194,72.61651035751294,41.790126040553545,82.954254183281,180.0
11608.52205436411,7390.990643939552,9566.704913014295,26602.161353923915,57.76075940987014,30.24411208934738,68.16373863304005,184.0
10892.933029069745,7156.904890537747,8928.780672029916,22889.265532755413,47.14427887628575,26.269126926049104,55.98496188728795,188.0
14029.239283554178,9113.383088104787,11156.291095594115,31974.410222672926,93.18786355238944,60.64198350877717,98.45529677274534,192.0
13733.318419818232,8797.838657146305,11097.15130810341,31157.56822727802,88.81501134680455,54.73758390475613,97.07379107895984,196.0
13364.37728367779,8655.368913575203,10825.364170548917,30497.219938709874,84.02180108800808,52.413586896571374,91.72629868939796,200.0
24741.875136563543,20209.472290015452,19536.63289921573,31207.67179290407,252.87570932337536,255.0,255.0,0.0
24416.34659437102,19537.579550289243,19477.060820008042,30442.95230651744,247.21200188477582,244.16924061225512,254.04188177912502,4.0
23187.221932199718,18291.60396571151,18609.878690726106,28976.39887162469,229.31646474635272,221.93918923621968,240.2364365730653,8.0
21385.165518365196,16572.77051743668,17275.066719353123,26794.25810350953,202.52559512975873,191.6427792936192,214.90108313607135,12.0
18994.847494778904,14493.918017442938,15556.03646982596,23888.113395237444,167.04329245755233,155.3752606715157,181.76198505632502,16.0
16818.213982621983,12679.362265965006,13873.22384208076,20837.35837922396,135.27441813459464,122.88267938830063,149.87846075398775,20.0
21499.36504506243,15901.316265564983,17228.819010817133,26375.707510845292,205.48618329954428,179.57991896639425,214.99607569340824,24.0
21354.82514651401,15589.104288060338,17287.00200610006,26019.99967864302,203.23085297492307,174.33920006171277,213.71346432374327,28.0
20523.139982889883,14872.170352352903,16699.708206787713,24939.41917364661,190.220914672528,161.1409071660037,202.63502820595045,32.0
19011.274757607105,13658.88070843943,15590.275222603155,23895.007349529882,167.6311768244488,140.06418208303697,181.88342590832266,36.0
17504.119278519076,12388.13077996896,14240.908898742917,20858.9290659522,139.56239939859958,115.2655663147059,155.87662152078678,40.0
15276.196348487001,10828.533992471257,12699.594538424706,30435.01459003454,111.5949340135065,90.49267519929677,128.02834737766088,44.0
19366.51932649778,13353.188158992125,15651.392067420824,22992.07866356137,173.3615639867567,135.00521230234116,182.99832648001436,48.0
19636.052894990942,13461.490257987814,15982.539657865811,23499.754673812597,176.4878479884716,136.26942815812566,188.69340385978782,52.0
18532.44438738098,12653.5597694063,15168.81907396278,22216.14212900663,160.20854514929005,122.15462129394666,174.93402178815143,56.0
16947.234998734693,11396.019652695755,13973.86544915654,20038.791135846797,136.84439887617924,100.41980841251595,151.4260435160718,60.0
15325.028691561387,10344.07007386954,12725.451104941327,35227.743728274945,113.33559832583626,82.00296447710073,127.6232249555421,64.0
14039.404502668613,9492.10282441895,11759.200386559798,32899.56417410071,93.29247536032072,67.02190880307839,109.38875385839636,68.0
17768.713634034408,11537.634853386915,14367.815824640798,20669.143625867502,148.6874332771293,103.46653984558823,158.6617643171789,72.0
17709.888467380333,11498.639447500096,14404.993986090016,20543.33554778767,147.7540816872811,102.23014502462169,159.09306069562976,76.0
17539.161147943196,11643.884988089505,14481.906651184772,20718.26400064218,145.976848491328,104.8742776019379,160.59617241861352,80.0
16057.038864538878,10535.527898052233,13281.062043552933,29801.44396776705,123.48427051893438,85.18106570943017,138.80616378274757,84.0
14225.077596105975,9173.817749516917,11844.232550502978,32602.532366060223,96.33220782698625,61.44949967392515,111.11132757053247,88.0
12865.779323667284,8370.817088079537,10701.50210760484,30041.2103928558,75.99430662675697,47.38411991521733,90.34204793268246,92.0
17066.045696020716,11095.895418118711,13806.882449022549,19893.076962297484,138.44747438826914,95.17472116250975,148.55390975492577,96.0
16850.638374170616,10853.382004030587,13775.089795734219,19576.492146777262,136.02189325965446,91.11915928423564,147.5234515657915,100.0
16414.93468141587,10657.121864719009,13523.190233328036,20343.808060227675,129.16089663773954,87.37402153209128,142.90759843811753,104.0
14773.479160089712,9439.48752432004,12223.728132601052,33566.33589622311,104.8841954272513,66.08101932847735,118.37610655811872,108.0
13450.145032429107,8610.416232592388,11206.560987591816,31044.171819897798,84.61280900502504,51.560520527076655,98.88316233648172,112.0
12275.74937782619,7887.866076373395,10265.43684743755,28417.35423978838,67.23937948508824,38.81659239466224,81.11816424897015,116.0
16116.93087143299,10335.731800433065,13078.253830512502,31803.713618452748,124.5140956372823,82.34122477387271,134.40185898398428,120.0
16297.036709475293,10411.800138268269,13378.543311885194,25056.934605226073,128.41193350003985,83.78811932324636,140.3961500784531,124.0
15070.135849505377,9504.142767497124,12352.880905903294,34281.97718800213,109.06075455266496,67.39603403487415,121.51340422093173,128.0
14036.36051527301,8843.967709210172,11623.461822380577,32215.488190559234,93.99918597489561,55.643179806156944,107.06565225336044,132.0
12617.783107013998,7941.288026597084,10507.795674917565,28852.585132767865,72.43401746902798,39.81400866565495,86.12821401387428,136.0
11733.766309276392,7522.739672924683,9775.331544734316,27126.6534675527,59.45216697322674,32.77008958023481,72.0768953653336,140.0
15368.970538627435,9912.158870649602,12381.131971943014,34684.539358007416,113.64653446962068,74.4622526002966,121.06574490653047,144.0
15115.846100093444,9492.63839471615,12358.813629308965,34302.484150616685,108.98839184305663,66.90511565968436,120.49296331648165,148.0
14342.381247583655,8948.265732072437,11805.231478635043,32571.351472992996,98.26061320684337,57.404245637528675,110.37513404035045,152.0
13710.88619270331,8722.929091966022,11365.065209523369,31734.205139631795,88.39891596720142,53.57000431268059,102.53167880233582,156.0
12193.715615158693,7655.5697633785985,10180.87471822548,27986.28150190143,66.74167877084611,34.83072497409552,79.71208742810063,160.0
11008.146969496684,6998.782740410735,9158.002090335925,23421.11698958561,48.34723665225241,23.303465347192326,60.35025091615025,164.0
14375.58043336312,9005.613513936842,11573.603884273669,32251.099510815275,98.4047504253966,58.43120516570544,106.4356232795503,168.0
14240.841802353058,8899.936587392402,11622.048711214153,32146.432931595587,96.94610248521244,56.70294231359365,106.65519076313049,172.0
14032.499876722253,8785.969645156705,11555.36135498057,31961.16070507716,93.40684428870831,54.479378582112055,105.46633581266812,176.0
13297.058284347799,8520.266051328183,10946.309013581367,30620.44234068264,82.74116310897465,50.04727761061217,94.11035336522868,180.0
12308.315378458687,7868.927982393213,10192.689447230045,28491.39188856625,67.8922597908414,38.49714941659183,79.8625079459911,184.0
11231.552042362495,7360.075072474685,9326.191773385415,26512.515881686104,51.80764748194645,29.69502195757941,63.58449282798149,188.0
14208.574383157236,9090.217557663826,11374.51805133994,32196.156124798523,96.13294616537286,59.90988566570112,102.5963566185715,192.0
14175.682991577272,9435.107215427543,11956.96662618789,31458.462189150807,95.19666540414075,58.24035933489622,104.5309838729335,196.0
13668.70513263599,8795.866608217253,11231.898807858295,31807.13901513391,88.20612770969976,54.661496107239465,99.36893399964264,200.0
